koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_model_snr,koi_teq,kepid,kepoi_name,koi_disposition,koi_pdisposition
0.0,0,1,0,1,0.684496369,0.501,2.263,28.4,16.3,2913.0,12353633,K07523.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.953285321,1.312,1.67598,1520.0,237.7,2927.0,12353720,K07524.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,1.012174295,0.596,4.6617,323000.0,596.0,2737.0,8565912,K07898.01,FALSE POSITIVE,FALSE POSITIVE
0.763,0,0,0,0,2.61090223,0.813,1.976,223.0,10.7,1323.0,7778767,K02523.02,CANDIDATE,CANDIDATE
0.913,0,0,0,0,17.6637979,0.695,6.194,67.9,9.7,1178.0,9026749,K02564.02,CANDIDATE,CANDIDATE
0.993,0,0,0,0,4.02664625,0.094,3.771,30.0,8.9,1318.0,10916600,K02623.02,CANDIDATE,CANDIDATE
0.334,0,0,0,0,5.1777226,0.025,8.275,41.7,6.1,1050.0,6198182,K02636.02,CANDIDATE,CANDIDATE
0.334,0,0,0,0,9.48814747,0.5693,1.163,47.9,11.1,856.0,5695396,K00283.03,CANDIDATE,CANDIDATE
0.334,0,0,0,0,5.06993245,0.3584,3.241,93.6,11.6,1053.0,6964929,K02756.02,CANDIDATE,CANDIDATE
0.334,1,0,0,0,346.36642,0.45,14.94,148.0,14.3,314.0,2853828,K02896.02,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,1,0,0.51554111,0.537,0.87,421.0,23.0,878.0,7008149,K02918.02,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,1,0,0.892061734,1.079,2.24307,75600.0,398.1,1724.0,3458919,K06337.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,1,3.471399214,1.014,5.07707,92300.0,3230.4,1558.0,3542573,K06338.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,4.176929219,0.984,5.2003,70400.0,187.0,938.0,3543270,K06339.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,1,0,6.3762199,0.537,2.24,421.0,23.0,878.0,3544678,K06340.01,FALSE POSITIVE,FALSE POSITIVE
0.334,0,0,0,0,9.78184193,0.537,2.3,421.0,23.0,878.0,3545626,K06341.01,CANDIDATE,CANDIDATE
0.984,0,0,0,0,8.1770751,0.456,4.608,44.3,10.6,1115.0,3547178,K06342.01,CANDIDATE,CANDIDATE
0.0,0,0,0,0,569.45051,0.001,9.63,425.0,8.2,225.0,3548622,K06343.01,CANDIDATE,CANDIDATE
0.0,0,1,1,0,0.823014905,1.247,3.5426,851.0,130.5,1482.0,3556742,K06344.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,0,0.796815149,0.524,1.0727,55.9,4.8,5480.0,4917014,K06472.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,26.95123768,1.04,8.27486,86700.0,1451.7,1082.0,4931073,K06473.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,18.11208877,0.982,6.7828,117000.0,217.7,1068.0,4932691,K06474.01,FALSE POSITIVE,FALSE POSITIVE
1.0,0,0,0,0,4.84505985,0.903,2.078,298.0,10.7,723.0,4939265,K06475.01,CANDIDATE,CANDIDATE
0.0,0,1,0,0,4.408295716,1.159,3.62479,38000.0,386.1,942.0,4940201,K06476.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,8.665259912,1.269,3.1088,1840.0,181.4,1378.0,4946680,K06477.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,4.726086185,0.651,4.39793,182000.0,1564.3,1032.0,4947726,K06478.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,8.643550046,1.076,3.1273,67300.0,849.3,779.0,4948863,K06479.01,FALSE POSITIVE,FALSE POSITIVE
0.113,0,0,0,0,623.70774,0.003,6.688,251.0,10.2,258.0,8308516,K07880.01,CANDIDATE,CANDIDATE
0.0,1,0,0,1,1.51945182,0.599,2.95,13.7,9.6,1901.0,5529501,K06592.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,0,1,1,0.759755409,0.455,2.734,70.0,15.9,2121.0,5529560,K06593.01,FALSE POSITIVE,FALSE POSITIVE
0.0,0,1,0,0,5.082523739,0.269,5.04732,276000.0,5286.2,1266.0,5530881,K06594.01,FALSE POSITIVE,FALSE POSITIVE
0.0,1,0,0,1,1.02547271,0.651,1.996,27.0,10.9,2657.0,5534476,K06595.01,FALSE POSITIVE,FALSE POSITIVE
